Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q29,125.9,48.27,4.994,-0.30757,9.400e-3,0.0124,0.0064,864,4.275e-4,4.275e-4,4.275e-4,29_28:9.309e-3; 29_30:2.424e-2,29_28:448; 29_30:568.889
Q30,59.29,67.68,5.083,-0.30708,1.460e-2,0.0194,0.0098,864,5.805e-4,5.805e-4,5.805e-4,30_17:1.076e-2; 30_29:2.424e-2; 30_31:1.117e-2,30_17:419.556; 30_29:604.444; 30_31:469.333
Q31,106.29,75.68,5.129,-0.30656,1.350e-2,0.0172,0.0098,864,3.315e-4,3.315e-4,3.315e-4,31_32:6.425e-3; 31_30:1.117e-2,31_32:362.667; 31_30:433.778
Q32,123.3,30.9,5.204,-0.30413,6.400e-3,0.0078,0.005,864,2.106e-4,2.106e-4,2.106e-4,32_36:1.931e-2; 32_31:6.425e-3,32_36:320; 32_31:327.111
Q33,84.73,95.7,4.953,-0.30938,1.140e-2,0.0102,0.0126,864,3.607e-4,3.607e-4,3.607e-4,33_20:8.639e-3; 33_39:1.098e-2,33_20:362.667; 33_39:384
Q34,119.43,121.19,4.937,-0.30923,1.760e-2,0.0242,0.011,864,5.983e-4,5.983e-4,5.983e-4,34_24:1.208e-2; 34_43:1.058e-1,34_24:917.333; 34_43:1144.889
Q35,113.65,50.86,5.074,-0.30721,5.200e-3,0.0054,0.005,864,2.503e-4,2.503e-4,2.503e-4,35_47:8.289e-3; 35_28:1.619e-2,35_47:376.889; 35_28:1088
Q36,154.19,211.48,5.102,-0.30593,5.800e-3,0.0088,0.0028,864,6.510e-4,6.510e-4,6.510e-4,36_51:1.505e-2; 36_32:1.931e-2,36_51:433.778; 36_32:355.556
Q37,82.39,62.75,5.17,-0.30222,2.500e-2,0.0292,0.0208,864,1.753e-1,1.753e-1,1.753e-1,37_38:1.448e-2; 37_52:3.138e-2,37_38:462.222; 37_52:1016.889
Q38,80.34,125.69,5.106,-0.30753,1.030e-2,0.0112,0.0094,864,2.128e-4,2.128e-4,2.128e-4,38_39:7.165e-3; 38_37:1.448e-2,38_39:440.889; 38_37:426.667
Q39,94.29,139.11,5.018,-0.30838,1.330e-2,0.0178,0.0088,864,3.109e-4,3.109e-4,3.109e-4,39_38:7.165e-3; 39_40:1.175e-2; 39_33:1.098e-2,39_38:476.444; 39_40:647.111; 39_33:348.444
Q40,87.89,17.32,5.163,-0.30613,4.900e-3,0.0054,0.0044,864,2.636e-4,2.636e-4,2.636e-4,40_41:7.767e-3; 40_39:1.175e-2,40_41:320; 40_39:611.556
Q41,97.38,43.26,5.093,-0.30775,2.790e-2,0.029,0.0268,864,3.211e-4,3.211e-4,3.211e-4,41_40:7.767e-3; 41_42:1.103e-2; 41_53:1.888e-2,41_40:355.556; 41_42:583.111; 41_53:355.556
Q42,144.05,205.91,4.925,-0.30938,4.570e-2,0.0728,0.0186,864,3.275e-4,3.275e-4,3.275e-4,42_41:1.103e-2; 42_43:6.727e-2,42_41:618.667; 42_43:803.556
Q43,51.49,180.8,5.033,-0.30812,9.900e-3,0.0126,0.0072,864,7.510e-4,7.510e-4,7.510e-4,43_44:5.606e-2; 43_42:6.727e-2; 43_34:1.058e-1,43_44:426.667; 43_42:839.111; 43_34:1180.444
Q44,101.25,150.65,5.116,-0.30753,2.550e-2,0.0334,0.0176,864,5.184e-4,5.184e-4,5.184e-4,44_43:5.606e-2; 44_45:1.350e-2,44_43:391.111; 44_45:1073.778
Q45,88.91,138.94,4.88,-0.30948,3.170e-2,0.0392,0.0242,864,2.495e-4,2.495e-4,2.495e-4,45_54:3.063e-2; 45_46:1.258e-2; 45_44:1.350e-2,45_54:597.333; 45_46:867.556; 45_44:1109.333
Q46,75.02,133.67,5.145,-0.30658,8.030e-2,0.1014,0.0592,864,1.862e-4,1.862e-4,1.862e-4,46_47:1.712e-2; 46_45:1.258e-2,46_47:910.222; 46_45:832
Q47,166.34,22.99,5.001,-0.30885,1.520e-2,0.0168,0.0136,864,1.951e-4,1.951e-4,1.951e-4,47_35:8.289e-3; 47_48:5.749e-3; 47_46:1.712e-2,47_35:412.444; 47_48:341.333; 47_46:945.778
Q48,105.54,124.26,4.934,-0.309,5.300e-3,0.006,0.0046,864,1.899e-4,1.899e-4,1.899e-4,48_49:5.914e-3; 48_47:5.749e-3,48_49:440.889; 48_47:376.889
Q49,115.05,159.63,5.116,-0.30701,8.700e-3,0.0116,0.0058,864,1.578e-4,1.578e-4,1.578e-4,49_55:6.624e-3; 49_48:5.914e-3; 49_50:7.485e-3,49_55:448; 49_48:405.333; 49_50:497.778
Q50,133.99,142.6,5.018,-0.30795,6.200e-3,0.0076,0.0048,864,2.442e-4,2.442e-4,2.442e-4,50_51:8.149e-3; 50_49:7.485e-3,50_51:348.444; 50_49:462.222
Q51,149.54,98.47,5.209,-0.30446,5.000e-3,0.0058,0.0042,864,1.805e-4,1.805e-4,1.805e-4,51_36:1.505e-2; 51_50:8.149e-3,51_36:398.222; 51_50:312.889
Q52,87.31,72.45,5.016,-0.30785,6.300e-3,0.0068,0.0058,864,3.373e-4,3.373e-4,3.373e-4,52_37:3.138e-2; 52_56:1.173e-2,52_37:981.333; 52_56:561.778
Q53,54,17.07,5.048,-0.30705,4.630e-2,0.0446,0.048,864,1.305e-3,1.305e-3,1.305e-3,53_60:1.698e-2; 53_41:1.888e-2,53_60:384; 53_41:391.111
Q54,108.58,130.37,5.026,-0.30335,2.050e-2,0.0228,0.0182,864,2.880e-4,2.880e-4,2.880e-4,54_64:8.919e-3; 54_45:3.063e-2,54_64:376.889; 54_45:561.778
Q55,83.09,145.3,5.197,-0.30556,5.030e-2,0.0592,0.0414,864,2.720e-4,2.720e-4,2.720e-4,55_49:6.624e-3; 55_68:1.234e-2,55_49:483.556; 55_68:469.333
Q56,62.64,74.3,5.188,-0.30564,1.140e-2,0.0144,0.0084,864,3.318e-4,3.318e-4,3.318e-4,56_57:1.460e-2; 56_52:1.173e-2,56_57:419.556; 56_52:526.222
Q57,71.18,52.7,5.093,-0.30621,1.310e-2,0.0128,0.0134,864,2.725e-4,2.725e-4,2.725e-4,57_58:7.925e-3; 57_56:1.460e-2,57_58:412.444; 57_56:384
